Country,Population,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,New_Recovered,Active,Serious_Critical,Total_Cases_per_1M_pop,Deaths_per_1M_pop,Total_Tests,Tests_per_1M_pop
Venezuela,28427499,22299,,195,,12146,,9958,42,784,7,1567431,55138
Nepal,29186486,21750,,65,,15389,,6296,,745,2,731977,25079
Austria,9011577,21696,,719,,19596,,1381,25,2408,80,937275,104008
Costa Rica,5098730,21070,,200,,7038,,13832,103,4132,39,96110,18850
Ethiopia,115223736,20900,,365,,9027,,11508,185,181,3,468814,4069
Australia,25528864,19890,,255,,10941,,8694,52,779,10,4631419,181419
El Salvador,6489514,19126,,513,,9236,,9377,509,2947,79,251271,38720
Czechia,10711019,17731,,390,,12320,,5021,17,1655,36,728670,68030
Cameroon,26606188,17718,,391,,15320,,2007,30,666,15,149000,5600
Ivory Coast,26437950,16447,,103,,12484,,3860,,622,4,104584,3956
S. Korea,51273732,14519,20,303,1,13543,42,673,18,283,6,1613652,31471
Denmark,5794279,14306,,617,,12787,,902,2,2469,106,1654512,285542
Palestine,5112340,13398,,92,,6907,,6399,,2621,18,200280,39176
Bosnia and Herzegovina,3278650,13396,,384,,7042,,5970,,4086,117,147021,44842
Bulgaria,6942854,13014,,435,,7374,,5205,47,1874,63,294087,42358
Madagascar,27755708,12526,,134,,10148,,2244,88,451,5,46301,1668
Sudan,43943536,11780,,763,,6194,,4823,,268,17,401,9
North Macedonia,2083365,11399,,517,,7480,,3402,3,5471,248,109946,52773
Senegal,16783877,10715,,223,,7101,,3391,33,638,13,114761,6838
Norway,5425471,9468,,256,,8857,,355,3,1745,47,472841,87152
DRC,89802183,9309,,215,,8048,,1046,,104,2,,
Malaysia,32406372,9038,,125,,8713,,200,2,279,4,991333,30591
French Guiana,299385,8127,,47,,7240,,840,23,27146,157,41412,138324
Gabon,2230563,7787,,51,,5609,,2127,11,3491,23,85369,38272
Tajikistan,9557468,7665,,62,,6443,,1160,,802,6,,
Guinea,13164905,7664,,49,,6757,,858,24,582,4,14407,1094
Haiti,11416103,7544,,171,,4832,,2541,,661,15,18443,1616
Finland,5541604,7532,,331,,6980,,221,,1359,60,389500,70287
Zambia,18430129,7164,,199,,5786,,1179,,389,11,90307,4900
Luxembourg,626952,7073,,119,,5750,,1204,9,11282,190,623994,995282
Mauritania,4660728,6444,,157,,5291,,996,3,1383,34,57387,12313
Paraguay,7141091,6375,,66,,4974,,1335,23,893,9,135277,18943
Albania,2877470,6016,,188,,3155,,2673,23,2091,65,38997,13553
Lebanon,6822220,5672,,70,,1974,,3628,46,831,10,345268,50609
Croatia,4102577,5404,,155,,4688,,561,7,1317,38,125317,30546
Djibouti,989387,5330,,59,,5057,,214,,5387,60,59909,60552
Greece,10417673,5123,,210,,1374,,3539,14,492,20,619393,59456
Libya,6880353,4879,,107,,652,,4120,,709,16,59699,8677
Equatorial Guinea,1407001,4821,,83,,2182,,2556,,3426,59,44356,31525
Maldives,541448,4680,,19,,2725,,1936,12,8643,35,85587,158071
CAR,4837752,4620,,59,,1641,,2920,2,955,12,29589,6116
Hungary,9657785,4597,,600,,3463,,534,8,476,62,352546,36504
Malawi,19174839,4491,,137,,2137,,2217,4,234,7,33466,1745
Zimbabwe,14883803,4339,,84,,1264,,2991,,292,6,140421,9434
Nicaragua,6632263,3902,,123,,2913,,866,,588,19,,
Hong Kong,7503041,3850,,46,,2458,,1346,39,513,6,692430,92287
Congo,5530506,3546,,58,,1589,,1899,,641,10,,
Montenegro,628074,3480,,60,,2178,,1242,,5541,96,38427,61182
Thailand,69817894,3330,,58,,3148,,124,1,48,0.8,749213,10731
Somalia,15933012,3227,,93,,1728,,1406,2,203,6,,
Mayotte,273419,3042,,39,,2738,,265,2,11126,143,13000,47546
Eswatini,1161348,2968,,55,,1476,,1437,5,2556,47,20784,17896
Sri Lanka,21422362,2839,,11,,2541,,287,1,133,0.5,166737,7783
Cuba,11325899,2775,,88,,2409,,278,4,245,8,285471,25205
Cabo Verde,556581,2734,,27,,2010,,697,,4912,49,61633,110735
Namibia,2545264,2652,,15,,563,,2074,24,1042,6,29233,11485
Mali,20302901,2552,,124,,1954,,474,,126,6,25152,1239
Slovakia,5459915,2480,,29,,1824,,627,2,454,5,272322,49877
South Sudan,11206572,2450,,47,,1175,,1228,,219,4,12044,1075
Slovenia,2078968,2223,,125,,1909,,189,2,1069,60,135702,65274
Lithuania,2718121,2171,,81,,1656,,434,6,799,30,540784,198955
Estonia,1326627,2124,,63,,1954,,107,,1601,47,122880,92626
Mozambique,31333962,2120,,15,,795,,1310,,68,0.5,65151,2079
Rwanda,12981546,2111,,5,,1258,,848,,163,0.4,286251,22051
Suriname,587154,2096,,29,,1446,,621,9,3570,49,2785,4743
Guinea-Bissau,1972277,2032,,27,,944,,1061,5,1030,14,1500,761
Benin,12151976,1936,,38,,1600,,298,1,159,3,93677,7709
Iceland,341465,1930,,10,,1825,,95,,5652,29,149693,438385
Sierra Leone,7992169,1877,,67,,1427,,383,,235,8,,
